name,date,o,h,l,c,Date,open,high,low,Close
,,,,,,2017-01-01 23:59:59,966.567909,1005.074602,961.719392,998.079443
,,,,,,2017-01-02 23:59:59,998.079638,1033.051602,994.997792,1018.369458
,,,,,,2017-01-03 23:59:59,1018.367417,1037.211425,1014.576142,1036.750461
,,,,,,2017-01-04 23:59:59,1036.750186,1146.956329,1036.327096,1137.239897
,,,,,,2017-01-05 23:59:59,1137.239606,1165.785631,883.48093,1002.86
,,,,,,2017-01-06 23:59:59,1002.86,1026.178635,876.460275,895.332963
,,,,,,2017-01-07 23:59:59,895.33278,908.541322,819.006887,907.241903
,,,,,,2017-01-08 23:59:59,907.242519,940.462119,889.468166,914.83442
,,,,,,2017-01-09 23:59:59,914.831619,914.831619,877.09639,901.407571
,,,,,,2017-01-10 23:59:59,901.395668,915.878325,899.227735,905.342814
,,,,,,2017-01-11 23:59:59,905.393933,921.594662,759.942371,778.83978
,,,,,,2017-01-12 23:59:59,778.839783,831.442185,748.698368,806.053828
,,,,,,2017-01-13 23:59:59,806.053855,831.181634,776.802413,827.310924
,,,,,,2017-01-14 23:59:59,827.308453,838.462239,808.878295,817.670918
,,,,,,2017-01-15 23:59:59,817.671123,822.860239,807.731692,821.487187
,,,,,,2017-01-16 23:59:59,821.487187,836.161989,817.273138,831.648372
,,,,,,2017-01-17 23:59:59,831.648372,908.083602,829.154941,905.013416
,,,,,,2017-01-18 23:59:59,905.048406,914.635971,851.346761,887.397051
,,,,,,2017-01-19 23:59:59,887.397029,908.079736,884.24951,902.151239
,,,,,,2017-01-20 23:59:59,902.151242,902.37332,883.185968,895.48432
,,,,,,2017-01-21 23:59:59,895.48432,928.779557,894.537622,924.167155
,,,,,,2017-01-22 23:59:59,924.168452,938.3657,892.908367,923.413046
,,,,,,2017-01-23 23:59:59,923.413046,927.993871,914.260308,914.99
,,,,,,2017-01-24 23:59:59,914.750864,923.440142,884.502562,886.142057
,,,,,,2017-01-25 23:59:59,886.141964,902.693204,885.825821,893.60059
,,,,,,2017-01-26 23:59:59,893.60059,918.415228,893.586372,915.431075
,,,,,,2017-01-27 23:59:59,915.431075,922.218914,908.505254,917.259501
,,,,,,2017-01-28 23:59:59,917.259501,923.232016,917.028772,919.385524
,,,,,,2017-01-29 23:59:59,919.385775,923.507837,912.218195,913.074384
,,,,,,2017-01-30 23:59:59,913.066023,922.102217,910.967211,919.543827
,,,,,,2017-01-31 23:59:59,919.544655,969.734755,919.216464,967.177316
,,,,,,2017-02-01 23:59:59,967.177316,985.675321,962.925078,983.683419
,,,,,,2017-02-02 23:59:59,983.683419,1010.287521,975.261116,1007.271509
,,,,,,2017-02-03 23:59:59,1007.271509,1023.065325,993.371179,1016.512888
,,,,,,2017-02-04 23:59:59,1016.512908,1039.931374,1003.959401,1032.71923
,,,,,,2017-02-05 23:59:59,1032.708188,1032.749606,1003.915822,1012.40293
,,,,,,2017-02-06 23:59:59,1012.40293,1029.410062,1009.150567,1023.212862
,,,,,,2017-02-07 23:59:59,1023.211787,1054.191305,1022.704267,1052.411201
