ds,y
2017-05-30 23:59:59,2193.309809
2017-05-31 23:59:59,2300.693462
2017-06-01 23:59:59,2414.25708
2017-06-02 23:59:59,2484.006687
2017-06-03 23:59:59,2548.31
2017-06-04 23:59:59,2530.080705
2017-06-05 23:59:59,2693.520881
2017-06-06 23:59:59,2870.144961
2017-06-07 23:59:59,2691.069516
2017-06-08 23:59:59,2806.286611
2017-06-09 23:59:59,2816.734106
2017-06-10 23:59:59,2908.0082
2017-06-11 23:59:59,2959.041062
2017-06-12 23:59:59,2659.135508
2017-06-13 23:59:59,2706.703046
2017-06-14 23:59:59,2459.969388
2017-06-15 23:59:59,2416.078485
2017-06-16 23:59:59,2483.577188
2017-06-17 23:59:59,2635.1301
2017-06-18 23:59:59,2513.446875
2017-06-19 23:59:59,2596.052308
2017-06-20 23:59:59,2728.967855
2017-06-21 23:59:59,2648.513506
2017-06-22 23:59:59,2680.432985
2017-06-23 23:59:59,2684.597114
2017-06-24 23:59:59,2564.729666
2017-06-25 23:59:59,2503.428155
2017-06-26 23:59:59,2410.526914
2017-06-27 23:59:59,2566.330559
2017-06-28 23:59:59,2552.601572
2017-06-29 23:59:59,2535.190677
2017-06-30 23:59:59,2455.658213
2017-07-01 23:59:59,2419.798898
2017-07-02 23:59:59,2511.699458
2017-07-03 23:59:59,2544.292337
2017-07-04 23:59:59,2603.508039
2017-07-05 23:59:59,2608.955005
2017-07-06 23:59:59,2602.133534
2017-07-07 23:59:59,2500.893281
2017-07-08 23:59:59,2554.539413
2017-07-09 23:59:59,2507.298326
2017-07-10 23:59:59,2335.532958
2017-07-11 23:59:59,2307.601035
2017-07-12 23:59:59,2385.726953
2017-07-13 23:59:59,2339.221012
2017-07-14 23:59:59,2217.805548
2017-07-15 23:59:59,1969.521939
2017-07-16 23:59:59,1914.617355
2017-07-17 23:59:59,2224.856385
2017-07-18 23:59:59,2307.524178
2017-07-19 23:59:59,2264.40314
2017-07-20 23:59:59,2862.75197
2017-07-21 23:59:59,2670.0
2017-07-22 23:59:59,2828.260295
2017-07-23 23:59:59,2756.969381
2017-07-24 23:59:59,2759.844521
2017-07-25 23:59:59,2563.464073
2017-07-26 23:59:59,2525.205131
2017-07-27 23:59:59,2665.119923
2017-07-28 23:59:59,2786.07
2017-07-29 23:59:59,2697.856161
2017-07-30 23:59:59,2733.956756
2017-07-31 23:59:59,2858.51
2017-08-01 23:59:59,2731.839924
2017-08-02 23:59:59,2699.873084
2017-08-03 23:59:59,2789.066054
2017-08-04 23:59:59,2857.25032
2017-08-05 23:59:59,3254.702667
2017-08-06 23:59:59,3224.166207
2017-08-07 23:59:59,3391.619862
2017-08-08 23:59:59,3420.114672
2017-08-09 23:59:59,3342.699698
2017-08-10 23:59:59,3422.961368
2017-08-11 23:59:59,3650.410734
2017-08-12 23:59:59,3872.849014
2017-08-13 23:59:59,4056.539338
2017-08-14 23:59:59,4321.51
2017-08-15 23:59:59,4155.6352
2017-08-16 23:59:59,4372.099162
2017-08-17 23:59:59,4276.693473
2017-08-18 23:59:59,4102.570687
2017-08-19 23:59:59,4157.41
2017-08-20 23:59:59,4054.240996
2017-08-21 23:59:59,3997.462706
2017-08-22 23:59:59,4085.361888
2017-08-23 23:59:59,4132.535892
2017-08-24 23:59:59,4310.374258
2017-08-25 23:59:59,4357.339336
2017-08-26 23:59:59,4342.358114
2017-08-27 23:59:59,4340.22
2017-08-28 23:59:59,4383.997067
2017-08-29 23:59:59,4585.478663
2017-08-30 23:59:59,4575.292667
2017-08-31 23:59:59,4739.469833
2017-09-01 23:59:59,4921.45768
2017-09-02 23:59:59,4605.892466
2017-09-03 23:59:59,4614.304072
2017-09-04 23:59:59,4312.106335
2017-09-05 23:59:59,4424.214533
2017-09-06 23:59:59,4612.221235
2017-09-07 23:59:59,4620.804685
2017-09-08 23:59:59,4340.151487
2017-09-09 23:59:59,4325.865032
2017-09-10 23:59:59,4239.831706
2017-09-11 23:59:59,4204.341804
2017-09-12 23:59:59,4163.544879
2017-09-13 23:59:59,3855.562625
2017-09-14 23:59:59,3247.122283
2017-09-15 23:59:59,3725.455917
2017-09-16 23:59:59,3715.875255
2017-09-17 23:59:59,3716.184135
2017-09-18 23:59:59,4099.970117
2017-09-19 23:59:59,3910.096313
2017-09-20 23:59:59,3868.228452
2017-09-21 23:59:59,3617.47
2017-09-22 23:59:59,3615.256116
2017-09-23 23:59:59,3783.96151
2017-09-24 23:59:59,3668.429743
2017-09-25 23:59:59,3919.834169
2017-09-26 23:59:59,3884.867698
2017-09-27 23:59:59,4199.330168
2017-09-28 23:59:59,4186.14868
